"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         242,       -6.14524874,      -3.934968674,      -4.278852462,      -3.886366607,      -9.362170892
          0,           0,         243,      -6.148502926,      -3.933390649,      -4.277988233,       -3.88593105,      -9.355347742
          0,           0,         244,      -6.151156289,      -3.931865852,      -4.277115543,      -3.885578195,      -9.348647167
          0,           0,         245,      -6.153196953,      -3.930395529,      -4.276236844,      -3.885252409,      -9.342038322
          0,           0,         246,      -6.154652649,      -3.928979478,       -4.27535472,      -3.884902402,      -9.335374166
          0,           0,         247,      -6.155592845,      -3.927616152,       -4.27447167,      -3.884486515,      -9.328569669
          0,           0,         248,      -6.156122985,      -3.926302829,      -4.273589974,      -3.883975506,      -9.321702867
          0,           0,         249,      -6.156371805,       -3.92503585,      -4.272711625,      -3.883352745,      -9.314900935
          0,           0,         250,      -6.156474469,      -3.923810884,      -4.271838322,      -3.882612242,      -9.308120402
          0,           0,         251,      -6.156554976,      -3.922623029,      -4.270971397,      -3.881755226,      -9.301355713
          0,           0,         252,      -6.156709299,      -3.921397393,      -4.270066498,      -3.880721945,      -9.294590422
          0,           0,         253,      -6.156228151,       -3.92033224,      -4.269244588,      -3.879410776,      -9.287791135
          0,           0,         254,      -6.157360496,        -3.9192381,      -4.268417546,      -3.878509691,      -9.280977493
          0,           0,         255,      -6.157891086,      -3.918158143,      -4.267590584,      -3.877225031,      -9.274196276
          0,           0,         256,      -6.158700605,        -3.9170963,        -4.2667713,      -3.875910573,      -9.267456047
          0,           0,         257,      -6.159540812,      -3.916051413,      -4.265962679,       -3.87451518,      -9.260672826
          0,           0,         258,      -6.160300744,      -3.915022156,      -4.265163913,      -3.873037845,      -9.253992119
          0,           0,         259,      -6.160954135,      -3.914008938,      -4.264374657,      -3.871508038,      -9.247323813
          0,           0,         260,      -6.161443893,      -3.913012621,      -4.263594354,      -3.869945371,      -9.240448052
          0,           0,         261,      -6.161742263,      -3.912034329,      -4.262821969,      -3.868379081,       -9.23388555
          0,           0,         262,      -6.161824835,      -3.911076026,      -4.262056914,      -3.866834039,      -9.227643181
          0,           0,         263,         -6.161686,      -3.910139908,      -4.261298786,      -3.865334689,      -9.221720663
          0,           0,         264,      -6.161338251,      -3.909228359,      -4.260547613,      -3.863904223,      -9.215830064
          0,           0,         265,      -6.160805205,      -3.908343857,      -4.259804012,      -3.862562002,      -9.210006344
          0,           0,         266,       -6.16011668,      -3.907488644,      -4.259069087,      -3.861320433,      -9.203963502
          0,           0,         267,      -6.159306944,      -3.906664781,       -4.25834459,      -3.860187322,      -9.197610083
          0,           0,         268,      -6.158408947,       -3.90587412,      -4.257632748,      -3.859163216,      -9.191123678
          0,           0,         269,       -6.15743885,      -3.905117073,      -4.256936169,      -3.858236619,      -9.184321587
          0,           0,         270,        -6.1564556,      -3.904396548,      -4.256258384,      -3.857413031,      -9.177673644
          0,           0,         271,       -6.15546812,      -3.903710794,       -4.25560221,      -3.856668955,      -9.169973941
          0,           0,         272,      -6.154484826,      -3.903060013,      -4.254970822,      -3.855985484,      -9.163293766
          0,           0,         273,      -6.153535465,      -3.902443412,      -4.254367498,      -3.855351361,      -9.157179881
